회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,부가가치(IFRS)(백만원),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS)
(주)뉴온,123840,2016,6,29,32902,  기타 기계 및 장비 제조업 ,2010-10-05,,26121.95,17888.31,7780.71,-569.45,0.0,0.0,1022.35,143.0
(주)뉴온,123840,2017,6,29,32902,  기타 기계 및 장비 제조업 ,2010-10-05,,40027.76,30706.72,8427.75,-916.31,0.0,0.0,1809.6,110.0
(주)디오,39840,2012,5,27,32701,"  의료, 정밀, 광학기기 및 시계 제조업 ",2000-06-29,,18617.7,-5990.3,11970.56,5923.54,0.0,0.0,1640.78,270.0
(주)디오,39840,2013,5,27,32701,"  의료, 정밀, 광학기기 및 시계 제조업 ",2000-06-29,,18473.13,-10021.39,14064.95,6634.67,0.0,0.0,1877.24,313.0
(주)디오,39840,2014,5,27,32701,"  의료, 정밀, 광학기기 및 시계 제조업 ",2000-06-29,,23550.93,-3980.7,16032.68,7458.99,0.0,0.0,2318.42,228.0
(주)디오,39840,2015,5,27,32701,"  의료, 정밀, 광학기기 및 시계 제조업 ",2000-06-29,,33782.99,13038.48,12698.23,5494.39,0.0,0.0,2218.48,232.0
(주)디오,39840,2016,5,27,32701,"  의료, 정밀, 광학기기 및 시계 제조업 ",2000-06-29,,48306.1,25560.96,17496.95,587.32,0.0,0.0,2879.41,293.0
(주)디지털대성,68930,2015,5,85,168505,  교육 서비스업 ,2003-10-17,,19723.67,6583.09,10469.04,-935.78,0.0,0.0,3607.33,223.0
(주)무궁화인포메이션테크놀로지,38340,2014,6,26,74707,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",2001-11-22,,-7094.41,-11323.27,2527.14,824.01,0.0,0.0,788.74,44.0
(주)무궁화인포메이션테크놀로지,38340,2015,6,26,74707,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",2001-11-22,,-4044.02,-6384.12,1921.64,-324.75,0.0,0.0,569.12,43.0
(주)미래SCI,28040,2015,4,46,32901,  도매 및 상품 중개업 ,1996-07-27,2021/04/13,1764.74,-2561.38,1893.88,1350.12,0.0,0.0,985.55,45.0
(주)미래SCI,28040,2016,4,46,32901,  도매 및 상품 중개업 ,1996-07-27,2021/04/13,1549.92,-668.66,986.57,1019.0,0.0,0.0,817.97,28.0
(주)바이오니아,64550,2013,5,21,32103,  의료용 물질 및 의약품 제조업 ,2005-12-29,,6362.65,-7155.78,7374.18,2372.21,0.0,0.0,4234.33,284.0
(주)바이오니아,64550,2014,5,21,32103,  의료용 물질 및 의약품 제조업 ,2005-12-29,,478.47,-13558.31,8595.21,2566.34,0.0,0.0,3311.7,285.0
(주)상보,27580,2014,5,22,32602,  고무 및 플라스틱제품 제조업 ,2007-10-01,,25898.61,-2458.43,17964.55,1983.67,167.37,1104.42,7137.13,425.0
(주)상보,27580,2015,5,22,32602,  고무 및 플라스틱제품 제조업 ,2007-10-01,,25712.38,-3967.45,18193.41,2753.89,314.91,1014.76,7401.88,351.0
